slowo					| IDF
------  -------
w					| 0.619788758288394
nocy					| 2.0
ze					| 1.6989700043360187
środy					| 2.0
na					| 0.8239087409443188
czwartek					| 1.3010299956639813
zmarł					| 2.0
po					| 1.045757490560675
długiej					| 2.0
i					| 0.721246399047171
ciężkiej					| 2.0
chorobie					| 2.0
minister					| 1.6989700043360187
kultury					| 2.0
dziedzictwa					| 2.0
narodowego					| 1.6989700043360187
andrzej					| 1.5228787452803376
zakrzewski					| 2.0
miał					| 1.6989700043360187
lat					| 1.6989700043360187
z					| 0.7958800173440752
wykształcenia					| 2.0
prawnik					| 2.0
był					| 2.0
historykiem					| 2.0
badaczem					| 2.0
historii					| 2.0
min					| 2.0
ii					| 1.6989700043360187
rzeczypospolitej					| 2.0
przez					| 0.9208187539523752
wiele					| 2.0
pracował					| 2.0
instytucie					| 2.0
pan					| 2.0
latach					| 2.0
wysokim					| 2.0
rangą					| 2.0
urzędnikiem					| 2.0
kancelarii					| 2.0
prezydenta					| 1.5228787452803376
jednym					| 2.0
najbliższych					| 2.0
współpracowników					| 2.0
lecha					| 2.0
wałęsy					| 2.0
roku					| 1.3010299956639813
kandydował					| 2.0
do					| 0.7695510786217261
sejmu					| 1.5228787452803376
list					| 2.0
aws					| 1.5228787452803376
jako					| 1.6989700043360187
poseł					| 2.0
tego					| 1.3010299956639813
ugrupowania					| 1.6989700043360187
stanął					| 2.0
czele					| 2.0
komisji					| 1.5228787452803376
łączności					| 2.0
polakami					| 2.0
za					| 1.1549019599857433
granicą					| 2.0
członkiem					| 2.0
ruchu					| 1.5228787452803376
stu					| 2.0
a					| 1.0
od					| 1.2218487496163564
marca					| 1.6989700043360187
r					| 1.3010299956639813
stronnictwa					| 1.6989700043360187
konserwatywnoludowego					| 2.0
czerwca					| 2.0
br					| 2.0
zostanie					| 2.0
otwarty					| 2.0
cmentarz					| 2.0
polskich					| 1.6989700043360187
żołnierzy					| 1.6989700043360187
miednoje					| 2.0
charkowie					| 2.0
lipca					| 2.0
katyniu					| 2.0
wynika					| 1.5228787452803376
wstępnego					| 2.0
harmonogramu					| 2.0
obchodów					| 1.6989700043360187
tej					| 1.3979400086720377
rocznicy					| 1.6989700043360187
zbrodni					| 2.0
katyńskiej					| 2.0
który					| 1.3010299956639813
przedstawił					| 2.0
sekretarz					| 2.0
generalny					| 2.0
rady					| 2.0
ochrony					| 1.6989700043360187
pamięci					| 1.6989700043360187
walk					| 2.0
męczeństwa					| 2.0
przewoźnik					| 2.0
centralne					| 2.0
obchody					| 1.6989700043360187
kraju					| 1.6989700043360187
planowane					| 2.0
są					| 1.5228787452803376
kwietnia					| 2.0
dnia					| 2.0
odbędzie					| 1.6989700043360187
się					| 0.721246399047171
uroczyste					| 2.0
posiedzenie					| 1.6989700043360187
ma					| 1.3979400086720377
przyjąć					| 2.0
uchwałę					| 2.0
okazji					| 2.0
zaczynają					| 2.0
konferencji					| 2.0
naukowej					| 2.0
dokumentowanie					| 2.0
nkwd					| 2.0
obywatelach					| 2.0
rp					| 2.0
czasie					| 2.0
drugiej					| 2.0
wojny					| 2.0
światowej					| 2.0
zostaną					| 1.6989700043360187
zamknięte					| 2.0
września					| 1.6989700043360187
uroczystościami					| 1.6989700043360187
pod					| 1.6989700043360187
pomnikiem					| 2.0
poległym					| 2.0
pomordowanym					| 2.0
wschodzie					| 2.0
wrzuceniem					| 2.0
premiera					| 2.0
jerzego					| 2.0
buzka					| 2.0
srebrnego					| 2.0
pierścienia					| 2.0
bałtyku					| 2.0
zakończyły					| 2.0
pucku					| 2.0
zaślubin					| 2.0
polski					| 1.2218487496163564
morzem					| 2.0
szef					| 1.6989700043360187
rządu					| 1.5228787452803376
wrzucił					| 2.0
pierścień					| 2.0
wody					| 2.0
podobnie					| 2.0
jak					| 1.3979400086720377
zrobił					| 2.0
to					| 1.045757490560675
gen					| 2.0
józef					| 2.0
haller					| 2.0
dokonując					| 2.0
symbolicznego					| 2.0
aktu					| 2.0
przywrócenia					| 2.0
polsce					| 1.5228787452803376
dostępu					| 2.0
ostatnim					| 2.0
etapem					| 2.0
były					| 1.5228787452803376
uroczystości					| 1.6989700043360187
we					| 2.0
władysławowie					| 2.0
głównym					| 2.0
ich					| 1.6989700043360187
punktem					| 2.0
było					| 1.5228787452803376
utworzenie					| 2.0
